,제조사,모델,연식,주행거리,연료,변속기,기통,구동방식,등급,유형,색상,상태,가격
34117,subaru,outback wagon,2006.0,284733,휘발유,자동,4,후륜구동,중형,해치백,갈색,좋음,2280000
34118,rover,sport,2006.0,172232,휘발유,자동,6,사륜구동,대형,SUV,은색,좋음,11340000
34119,ford,e-150 van,2001.0,372459,휘발유,자동,8,전륜구동,대형,밴,은색,좋음,2401200
34120,dodge,grand caravan sxt,2010.0,191149,휘발유,자동,6,후륜구동,대형,밴,은색,나쁨,4800000
34121,subaru,forester 2.5x,2010.0,130329,휘발유,자동,4,사륜구동,중형,SUV,파란색,훌륭함,10794000
34122,chevrolet,trailblazer,2002.0,334028,휘발유,자동,6,사륜구동,중형,SUV,초록색,좋음,4200000
34123,volkswagen,tiguan,2019.0,114239,휘발유,자동,4,사륜구동,중형,SUV,흰색,훌륭함,19194000
34124,ford,focus,2012.0,143201,휘발유,자동,4,후륜구동,중형,해치백,초록색,훌륭함,10200000
34125,volkswagen,passat,2014.0,69129,경유,자동,4,후륜구동,중형,세단,빨간색,훌륭함,19194000
34126,buick,encore,2017.0,22793,휘발유,자동,4,후륜구동,준중형,SUV,검은색,훌륭함,23394000
34127,honda,accord,2008.0,345951,휘발유,자동,4,후륜구동,대형,세단,빨간색,좋음,2280000
34128,ford,f150,2008.0,225599,휘발유,자동,8,사륜구동,대형,트럭,흰색,훌륭함,10080000
34129,jeep,cherokee,2014.0,58379,휘발유,자동,4,후륜구동,중형,SUV,은색,훌륭함,19194000
34130,ford,mustang,2008.0,89991,휘발유,자동,8,전륜구동,소형,쿠페,빨간색,훌륭함,17994000
34131,ford,f-250 super duty,1999.0,345935,휘발유,자동,10,사륜구동,대형,픽업트럭,빨간색,좋음,3480000
34132,buick,encore,2017.0,76179,휘발유,자동,4,후륜구동,준중형,SUV,검은색,훌륭함,17994000
34133,chevrolet,impala ls,2011.0,321719,휘발유,자동,6,후륜구동,대형,세단,검은색,좋음,4440000
34134,volkswagen,passat gls￼,2002.0,334672,휘발유,수동,6,후륜구동,중형,세단,회색,훌륭함,2640000
34135,audi,a4 convertible,2006.0,218745,휘발유,자동,6,사륜구동,중형,컨버터블,검은색,새거같음,6600000
34136,ford,e250 econoline,2003.0,184450,휘발유,자동,8,전륜구동,대형,밴,초록색,좋음,9000000
34137,saturn,sl1,1998.0,157682,휘발유,자동,4,후륜구동,준중형,세단,초록색,훌륭함,2400000
34138,nissan,murano,2003.0,302492,휘발유,자동,6,사륜구동,중형,SUV,갈색,훌륭함,3960000
34139,chevrolet,malibu,2010.0,281575,휘발유,자동,4,후륜구동,중형,세단,회색,훌륭함,5340000
34140,hyundai,sonata,2010.0,362025,휘발유,자동,4,후륜구동,중형,세단,초록색,훌륭함,4200000
34141,chevrolet,traverse,2012.0,226869,휘발유,자동,6,후륜구동,중형,SUV,은색,훌륭함,8340000
34142,toyota,corolla,2010.0,252613,휘발유,자동,4,후륜구동,준중형,세단,빨간색,훌륭함,6000000
34143,mercedes-benz,gl350,2014.0,176990,휘발유,자동,6,사륜구동,대형,SUV,회색,훌륭함,22200000
34144,chevrolet,equinox,2014.0,205952,휘발유,자동,4,후륜구동,중형,SUV,흰색,훌륭함,10680000
34145,cadillac,hearse,1965.0,43443,휘발유,자동,8,전륜구동,대형,세단,검은색,훌륭함,7800000
34146,toyota,venza,2010.0,159291,휘발유,자동,6,사륜구동,중형,SUV,파란색,훌륭함,13200000
34147,toyota,camry se,2017.0,38696,휘발유,자동,4,후륜구동,대형,세단,검은색,훌륭함,18600000
34148,chevrolet,cruze,2012.0,203892,휘발유,자동,4,후륜구동,준중형,세단,흰색,좋음,6960000
34149,kia,optima 4dr sdn lx,2008.0,117864,휘발유,자동,4,후륜구동,중형,세단,회색,훌륭함,5040000
34150,volkswagen,passat,2005.0,236523,휘발유,수동,4,후륜구동,준중형,세단,은색,좋음,2640000
34151,mazda,6,2007.0,215606,휘발유,자동,4,후륜구동,중형,쿠페,파란색,좋음,3960000
34152,ford,fusion se,2017.0,100240,휘발유,자동,4,후륜구동,중형,쿠페,검은색,훌륭함,13194000
34153,ford,escape,2015.0,142493,휘발유,자동,4,후륜구동,중형,SUV,은색,훌륭함,13194000
34154,acura,mdx sh-awd w/tech,2012.0,171809,휘발유,자동,6,사륜구동,중형,SUV,기타,훌륭함,16800000
34155,gmc,c7000,1984.0,205952,휘발유,수동,8,전륜구동,대형,트럭,흰색,좋음,7800000
34156,ford,flex sel awd,2014.0,123378,휘발유,자동,6,사륜구동,대형,웨건,빨간색,새거같음,19080000
34157,hyundai,veracruz limited,2008.0,258244,휘발유,자동,6,후륜구동,대형,SUV,흰색,훌륭함,5998800
34158,ford,edge,2013.0,144758,휘발유,자동,6,후륜구동,중형,SUV,파란색,훌륭함,13194000
34159,honda,ridgeline rt awd,2010.0,292838,휘발유,자동,6,사륜구동,중형,픽업트럭,빨간색,좋음,9720000
34160,ford,bronco,1996.0,288950,휘발유,자동,8,사륜구동,대형,SUV,검은색,좋음,21600000
34161,chevrolet,cruze,2009.0,273530,휘발유,자동,6,후륜구동,중형,세단,검은색,좋음,3600000
34162,ford,cmax,2015.0,179845,하이브리드,자동,4,후륜구동,준중형,해치백,빨간색,훌륭함,11880000
34163,audi,q5 quattro,2016.0,101849,휘발유,자동,4,사륜구동,중형,SUV,파란색,훌륭함,23400000
34164,honda,crv,2006.0,321800,휘발유,수동,4,사륜구동,소형,SUV,흰색,좋음,6480000
34165,bmw,328i,2009.0,270312,휘발유,수동,6,전륜구동,준중형,세단,갈색,훌륭함,9360000
34166,bmw,e39 540i,1997.0,228478,휘발유,수동,8,전륜구동,중형,세단,검은색,좋음,4200000
34167,ford,f150,2011.0,315364,휘발유,자동,6,사륜구동,대형,픽업트럭,은색,좋음,11880000
34168,chevrolet,tahoe,2013.0,141223,휘발유,자동,8,전륜구동,대형,SUV,검은색,좋음,11940000
34169,nissan,rogue,2017.0,80450,휘발유,자동,4,사륜구동,중형,SUV,파란색,훌륭함,15600000
34170,ford,five hundred se,2006.0,383511,휘발유,자동,6,후륜구동,대형,세단,검은색,나쁨,1800000
34171,toyota,4runner limited v8,2003.0,317981,휘발유,자동,8,사륜구동,중형,SUV,은색,좋음,9000000
34172,ford,explorer,2017.0,63690,휘발유,자동,6,후륜구동,대형,SUV,파란색,훌륭함,29994000
34173,lexus,is 200t sport edition,2016.0,75623,휘발유,자동,4,후륜구동,중형,세단,회색,새거같음,26280000
34174,volkswagen,passat,2013.0,63597,경유,자동,4,후륜구동,중형,세단,은색,훌륭함,19194000
34175,ford,escape 4wd 4dr se,2018.0,77232,휘발유,자동,4,사륜구동,중형,SUV,은색,훌륭함,18960000
34176,buick,encore,2018.0,33451,휘발유,자동,4,후륜구동,준중형,SUV,흰색,훌륭함,21594000
34177,ford,f150 2wd supercab xl,2013.0,244568,휘발유,자동,6,전륜구동,대형,트럭,흰색,좋음,11100000
34178,audi,a6 3.0t quattro prestige,2010.0,227512,휘발유,자동,6,사륜구동,대형,세단,검은색,새거같음,9480000
34179,mercedes-benz,cla-class,2014.0,101040,휘발유,자동,4,후륜구동,소형,세단,파란색,훌륭함,22794000
34180,dodge,grand caravan,2008.0,333063,휘발유,자동,6,후륜구동,대형,미니밴,파란색,좋음,3000000
34181,ford,explorer,2006.0,319166,휘발유,자동,6,사륜구동,대형,SUV,회색,좋음,2520000
34182,chevrolet,traverse,2017.0,66681,휘발유,자동,6,사륜구동,대형,SUV,흰색,훌륭함,29994000
34183,ford,ranger xl,2020.0,1115,휘발유,자동,4,전륜구동,중형,트럭,흰색,새거같음,28200000
34184,mazda,3 grand touring,2017.0,34947,휘발유,자동,4,후륜구동,준중형,해치백,흰색,새거같음,21804000
34185,chevrolet,cruze,2012.0,233305,휘발유,수동,4,후륜구동,준중형,세단,파란색,훌륭함,7080000
34186,gmc,sierra denali,2018.0,61946,휘발유,자동,8,사륜구동,대형,트럭,회색,훌륭함,50400000
34187,lexus,rx 300 awd,2000.0,320191,휘발유,자동,6,사륜구동,중형,SUV,흰색,좋음,4200000
34188,saturn,vue awd,2007.0,319442,휘발유,자동,6,사륜구동,중형,SUV,검은색,좋음,3600000
34189,ford,f-150,2018.0,67175,휘발유,자동,6,사륜구동,대형,픽업트럭,파란색,훌륭함,53880000
34190,chevrolet,impala lt,2007.0,233305,휘발유,자동,6,후륜구동,준중형,세단,회색,좋음,4198800
34191,volkswagen,passat,2013.0,104499,경유,자동,4,후륜구동,중형,세단,검은색,훌륭함,17400000
34192,volkswagen,golf alltrack,2017.0,51809,휘발유,자동,4,사륜구동,중형,웨건,파란색,훌륭함,23976000
34193,chevrolet,lt sonic hatchback,2013.0,27353,휘발유,자동,4,후륜구동,소형,해치백,흰색,새거같음,9000000
34194,ford,escape,2014.0,97021,휘발유,자동,4,후륜구동,중형,SUV,파란색,훌륭함,17994000
34195,chevrolet,equinox lt,2018.0,24295,휘발유,자동,4,후륜구동,중형,SUV,빨간색,새거같음,21600000
34196,gmc,sierra 1500 slt double cab,2017.0,9650,휘발유,자동,8,사륜구동,대형,트럭,흰색,새거같음,46200000
34197,ford,f-150,2002.0,172163,휘발유,자동,8,사륜구동,대형,픽업트럭,검은색,새거같음,8640000
34198,chevrolet,equinox,2019.0,29288,휘발유,자동,4,후륜구동,중형,SUV,검은색,훌륭함,27594000
34199,mercury,mariner v6,2008.0,334699,휘발유,자동,6,후륜구동,중형,SUV,은색,파손,3000000
34200,volkswagen,jetta sedan,2014.0,34747,경유,자동,4,후륜구동,준중형,세단,검은색,훌륭함,19194000
34201,audi,s5,2009.0,255831,휘발유,자동,8,사륜구동,대형,쿠페,검은색,훌륭함,13794000
34202,ford,fusion,2016.0,62911,휘발유,자동,4,후륜구동,중형,세단,빨간색,훌륭함,17880000
34203,volkswagen,passat,2014.0,69129,경유,자동,4,후륜구동,중형,세단,빨간색,훌륭함,19194000
34204,hyundai,elantra,2010.0,113917,휘발유,자동,4,후륜구동,준중형,세단,검은색,훌륭함,6960000
34205,audi,a6,2014.0,140143,휘발유,자동,6,사륜구동,대형,세단,검은색,훌륭함,20040000
34206,ford,taurus limited,2012.0,217215,휘발유,자동,6,후륜구동,대형,세단,파란색,좋음,7194000
34207,chevrolet,traverse,2017.0,27253,휘발유,자동,6,후륜구동,대형,SUV,흰색,훌륭함,28794000
34208,kia,sorento lx,2011.0,217215,휘발유,자동,6,후륜구동,대형,SUV,은색,훌륭함,8100000
34209,bmw,x4 xdrive28i,2016.0,73209,휘발유,자동,4,사륜구동,중형,SUV,검은색,좋음,30900000
34210,chevrolet,s-10,1999.0,263876,휘발유,자동,4,전륜구동,준중형,픽업트럭,파란색,나쁨,2160000
34211,subaru,outback,2013.0,213997,휘발유,자동,4,사륜구동,대형,웨건,파란색,훌륭함,9000000
34212,ford,explorer sport trac,2003.0,257440,휘발유,자동,6,전륜구동,대형,픽업트럭,파란색,훌륭함,3600000
34213,chevrolet,silverado c3500hd,2012.0,291082,경유,자동,8,전륜구동,대형,트럭,파란색,좋음,22200000
34214,ram,1500,2016.0,107803,경유,자동,6,사륜구동,대형,트럭,회색,훌륭함,32400000
34215,ford,mustang,2008.0,89991,휘발유,자동,8,전륜구동,소형,쿠페,빨간색,훌륭함,20394000
34216,jaguar,xj,2007.0,193080,휘발유,자동,8,전륜구동,대형,세단,초록색,좋음,5520000
34217,ram,2500 4x4,2001.0,239741,휘발유,자동,8,사륜구동,대형,픽업트럭,은색,좋음,3000000
34218,chevrolet,silverado 1500,2019.0,15285,휘발유,자동,4,사륜구동,대형,픽업트럭,검은색,새거같음,43200000
34219,chevrolet,tahoe,2018.0,62429,휘발유,자동,8,사륜구동,대형,SUV,흰색,새거같음,49800000
34220,chrysler,300,2010.0,238132,휘발유,자동,6,전륜구동,대형,세단,흰색,훌륭함,7440000
34221,lexus,rx 400h,2007.0,231696,하이브리드,자동,6,사륜구동,중형,SUV,파란색,훌륭함,8400000
34222,jeep,wrangler unlimited sport,2012.0,90342,휘발유,자동,6,사륜구동,대형,SUV,주황색,훌륭함,28798800
34223,lexus,rx 300 awd,2000.0,320191,휘발유,자동,6,사륜구동,중형,SUV,흰색,좋음,4200000
34224,toyota,corolla,2012.0,214022,휘발유,자동,4,후륜구동,준중형,세단,흰색,훌륭함,8400000
34225,toyota,sienna,2005.0,259049,휘발유,자동,6,후륜구동,대형,미니밴,은색,좋음,4680000
34226,jaguar,xjs v12 coupe,1988.0,104967,휘발유,자동,12,전륜구동,대형,쿠페,갈색,좋음,4200000
34227,subaru,xv crosstrek,2015.0,86081,휘발유,자동,4,사륜구동,중형,SUV,주황색,훌륭함,19800000
34228,chevrolet,equinox,2019.0,47806,휘발유,자동,4,후륜구동,중형,SUV,흰색,훌륭함,22794000
34229,ford,escape,2017.0,64604,휘발유,자동,4,후륜구동,중형,SUV,흰색,새거같음,18600000
34230,mazda,tribute,2002.0,268361,휘발유,자동,6,사륜구동,중형,SUV,회색,나쁨,1800000
34231,ram,1500,2017.0,154298,휘발유,자동,10,사륜구동,대형,트럭,파란색,훌륭함,20400000
34232,chevrolet,suburban,2012.0,60757,휘발유,자동,5,사륜구동,대형,SUV,검은색,훌륭함,27600000
34233,ford,transit connect xlt,2017.0,243927,휘발유,자동,4,후륜구동,대형,미니밴,파란색,훌륭함,12345600
34234,mercury,milan,2007.0,151337,휘발유,자동,6,후륜구동,중형,세단,회색,훌륭함,8865600
34235,chevrolet,impala lt,2012.0,165727,휘발유,자동,6,후륜구동,대형,세단,파란색,훌륭함,8160000
34236,ford,escape,2015.0,142493,휘발유,자동,4,후륜구동,중형,SUV,은색,훌륭함,14394000
34237,toyota,rav4 limited awd,2008.0,236523,휘발유,자동,6,사륜구동,준중형,SUV,검은색,좋음,8700000
34238,honda,odyssey,2018.0,58390,휘발유,자동,6,후륜구동,대형,미니밴,회색,좋음,19800000
34239,chevrolet,silverado,2005.0,243954,휘발유,자동,8,전륜구동,대형,픽업트럭,빨간색,좋음,2340000
34240,chevrolet,suburban,2005.0,402697,휘발유,자동,8,사륜구동,대형,SUV,초록색,좋음,2340000
34241,hyundai,sonata,2014.0,175784,휘발유,자동,4,후륜구동,중형,세단,검은색,좋음,10796400
34242,honda,civic,2014.0,132314,휘발유,자동,4,후륜구동,준중형,세단,검은색,좋음,11996400
34243,jeep,patriot 4x4,2015.0,225260,휘발유,자동,4,사륜구동,중형,SUV,흰색,좋음,10080000
34244,ford,f150 fx4 4x4,2014.0,98149,휘발유,자동,6,사륜구동,대형,픽업트럭,흰색,새거같음,32280000
34245,ford,f150 4x4,2006.0,175381,휘발유,자동,8,사륜구동,대형,픽업트럭,흰색,새거같음,14340000
34246,kia,forte,2017.0,58693,휘발유,자동,4,후륜구동,소형,해치백,흰색,훌륭함,15358800
34247,ford,f-150,2010.0,220581,휘발유,자동,8,사륜구동,대형,트럭,흰색,좋음,17209200
34248,ford,taurus limited,2011.0,156877,휘발유,자동,6,후륜구동,대형,세단,빨간색,좋음,9600000
34249,lincoln,continental,1998.0,180208,휘발유,수동,4,사륜구동,중형,기타,검은색,좋음,2880000
34250,chevrolet,equinox lt awd,2015.0,178599,휘발유,자동,4,사륜구동,중형,SUV,초록색,좋음,13080000
34251,honda,odyssey ex-l,2007.0,333063,휘발유,자동,6,후륜구동,중형,미니밴,흰색,좋음,5280000
34252,chevrolet,equinox awd,2011.0,276748,휘발유,자동,4,사륜구동,중형,SUV,갈색,좋음,8880000
34253,chevrolet,impala limited,2014.0,157682,휘발유,자동,6,후륜구동,중형,세단,빨간색,좋음,8880000
34254,hyundai,azera,2012.0,157682,휘발유,자동,6,후륜구동,중형,세단,검은색,훌륭함,10080000
34255,chevrolet,malibu lt,2012.0,207561,휘발유,자동,4,후륜구동,중형,세단,흰색,훌륭함,8280000
34256,chevrolet,equinox ls fwd,2012.0,186644,휘발유,자동,4,후륜구동,중형,SUV,흰색,좋음,8280000
34257,buick,regal cxl,2011.0,234914,휘발유,자동,4,후륜구동,중형,세단,흰색,좋음,8280000
34258,dodge,grand caravan se,2013.0,175381,휘발유,자동,6,후륜구동,중형,미니밴,검은색,좋음,9480000
34259,nissan,pathfinder,2014.0,191471,휘발유,자동,6,사륜구동,대형,SUV,빨간색,좋음,13080000
34260,ford,escape xls,2006.0,246177,휘발유,자동,4,후륜구동,중형,SUV,은색,나쁨,3480000
34261,saturn,aura xe,2008.0,125502,휘발유,자동,6,후륜구동,중형,세단,검은색,좋음,7080000
34262,subaru,outback,2005.0,310537,휘발유,자동,4,사륜구동,중형,해치백,파란색,나쁨,3480000
34263,jeep,liberty sport 4x4,2007.0,222042,휘발유,자동,6,사륜구동,중형,SUV,빨간색,좋음,5880000
34264,mazda,6,2004.0,230087,휘발유,자동,4,후륜구동,준중형,세단,검은색,좋음,4680000
34265,nissan,rouge sv,2011.0,233305,휘발유,자동,4,사륜구동,중형,SUV,회색,좋음,8280000
34266,ford,f-250,1981.0,215943,휘발유,수동,8,전륜구동,대형,트럭,검은색,좋음,2400000
34267,honda,accord ex,2003.0,201125,휘발유,자동,4,후륜구동,중형,세단,빨간색,좋음,5280000
34268,ford,edge limited,2008.0,180208,휘발유,자동,6,사륜구동,중형,SUV,검은색,좋음,7680000
34269,nissan,sentra,2010.0,167336,휘발유,자동,4,후륜구동,중형,세단,회색,좋음,7080000
34270,ford,escape limited,2010.0,241350,휘발유,자동,6,사륜구동,중형,SUV,검은색,좋음,8280000
34271,chevrolet,equinox lt,2014.0,175381,휘발유,자동,4,후륜구동,중형,SUV,회색,좋음,11880000
34272,kia,sorento lx,2012.0,148028,휘발유,자동,4,후륜구동,중형,SUV,검은색,훌륭함,10080000
34273,ford,escape limited,2011.0,168945,휘발유,자동,6,사륜구동,중형,SUV,검은색,훌륭함,10680000
34274,ford,escape xlt,2009.0,271921,휘발유,자동,6,사륜구동,중형,SUV,파란색,좋음,7080000
34275,ford,edge limited,2013.0,257440,휘발유,자동,6,사륜구동,중형,SUV,빨간색,좋음,11880000
34276,kia,sportage,2009.0,193080,휘발유,자동,6,사륜구동,중형,SUV,은색,좋음,7080000
34277,dodge,grand caravan,2012.0,210779,휘발유,자동,6,후륜구동,중형,미니밴,회색,좋음,8280000
34278,dodge,journey,2018.0,73629,휘발유,자동,4,후륜구동,중형,SUV,회색,훌륭함,14396400
34279,chevrolet,malibu,2019.0,55241,휘발유,자동,4,후륜구동,중형,세단,은색,훌륭함,19196400
34280,chevrolet,malibu,2016.0,198219,휘발유,자동,4,후륜구동,중형,세단,은색,훌륭함,11396400
34281,ford,focus zx5,2007.0,246177,휘발유,자동,4,후륜구동,준중형,해치백,회색,나쁨,4080000
34282,mercury,mountaineer,2010.0,194689,휘발유,자동,8,사륜구동,중형,SUV,검은색,좋음,9480000
34283,ford,escape xlt,2009.0,345935,휘발유,자동,4,후륜구동,중형,SUV,파란색,좋음,4680000
34284,buick,lacrosse,2014.0,198204,휘발유,자동,6,후륜구동,중형,세단,빨간색,훌륭함,11520000
34285,chevrolet,cruze,2019.0,80343,휘발유,자동,4,후륜구동,준중형,해치백,검은색,훌륭함,16796400
34286,toyota,corolla,2011.0,90606,휘발유,자동,4,후륜구동,중형,세단,흰색,훌륭함,10796400
34287,jeep,grand cherokee,2012.0,243768,휘발유,자동,6,사륜구동,중형,SUV,검은색,훌륭함,11996400
34288,chevrolet,sonic,2016.0,157202,휘발유,자동,4,후륜구동,준중형,세단,흰색,훌륭함,9596400
34289,kia,optima ex,2014.0,75623,휘발유,자동,4,후륜구동,중형,세단,은색,훌륭함,15840000
34290,ford,fusion se,2014.0,199516,휘발유,자동,4,후륜구동,중형,세단,회색,새거같음,10680000
34291,subaru,impreza,2013.0,213997,휘발유,자동,4,사륜구동,준중형,해치백,흰색,좋음,5400000
34292,dodge,grand carvan,2013.0,328236,휘발유,자동,6,후륜구동,대형,미니밴,기타,새거같음,5994000
34293,chevrolet,equinox awd,2011.0,276748,휘발유,자동,4,사륜구동,중형,SUV,갈색,좋음,8880000
34294,chevrolet,impala limited,2014.0,157682,휘발유,자동,6,후륜구동,중형,세단,빨간색,좋음,8880000
34295,kia,soul,2013.0,111021,휘발유,자동,4,후륜구동,준중형,SUV,초록색,새거같음,8394000
34296,dodge,charger r/t,2013.0,86886,휘발유,자동,8,전륜구동,대형,세단,파란색,훌륭함,21360000
34297,ford,f-150 xlt,2003.0,397622,휘발유,자동,8,사륜구동,대형,트럭,검은색,좋음,4200000
34298,nissan,cube sl,2009.0,326627,휘발유,자동,4,후륜구동,준중형,세단,갈색,훌륭함,5040000
34299,hyundai,azera,2012.0,157682,휘발유,자동,6,후륜구동,중형,세단,검은색,훌륭함,10080000
34300,chevrolet,malibu lt,2012.0,207561,휘발유,자동,4,후륜구동,중형,세단,흰색,훌륭함,8280000
34301,ford,edge limited,2008.0,180208,휘발유,자동,6,사륜구동,중형,SUV,검은색,좋음,7680000
34302,chrysler,town country,2009.0,205477,휘발유,자동,6,후륜구동,대형,밴,파란색,좋음,7194000
34303,ford,escape,2017.0,151353,휘발유,자동,4,후륜구동,대형,SUV,은색,좋음,16794000
34304,jeep,liberty,2008.0,210544,휘발유,자동,6,사륜구동,대형,SUV,검은색,좋음,7194000
34305,ram,1500,2011.0,157669,휘발유,자동,8,전륜구동,대형,트럭,기타,좋음,19194000
34306,chevrolet,traverse,2011.0,246595,휘발유,자동,6,후륜구동,대형,SUV,빨간색,좋음,8394000
34307,chevrolet,malibu maxx,2005.0,226064,휘발유,자동,6,후륜구동,중형,해치백,빨간색,좋음,4200000
34308,ford,f-350,2005.0,442475,경유,자동,8,사륜구동,대형,트럭,흰색,훌륭함,18000000
34309,ford,focus se,2013.0,167336,휘발유,자동,4,후륜구동,중형,세단,회색,훌륭함,8394000
34310,ford,ranger super cab,2007.0,284793,휘발유,자동,6,사륜구동,중형,픽업트럭,파란색,좋음,9594000
34311,ford,focus se,2016.0,152855,휘발유,자동,4,후륜구동,중형,세단,은색,훌륭함,11400000
34312,chevrolet,malibu lt,2011.0,154464,휘발유,자동,4,후륜구동,대형,세단,은색,좋음,9594000
34313,chevrolet,impala lt,2011.0,185035,휘발유,자동,6,후륜구동,대형,세단,검은색,좋음,6600000
34314,ford,taurus x,2008.0,329531,휘발유,자동,6,후륜구동,대형,웨건,흰색,좋음,3480000
34315,buick,lacrosse,2012.0,231449,휘발유,자동,6,후륜구동,대형,세단,회색,훌륭함,9480000
34316,ford,f-150,2015.0,40225,휘발유,자동,6,전륜구동,대형,픽업트럭,초록색,새거같음,27600000
34317,subaru,outback,2008.0,156056,휘발유,자동,4,사륜구동,중형,웨건,회색,좋음,9600000
34318,ram,promaster 2500,2015.0,183426,휘발유,자동,6,후륜구동,대형,밴,흰색,훌륭함,28200000
34319,toyota,camry,2012.0,257440,휘발유,자동,4,후륜구동,중형,세단,은색,훌륭함,10200000
34320,ford,mustang v6,2014.0,165080,휘발유,자동,6,전륜구동,준중형,쿠페,파란색,좋음,13800000
34321,subaru,forester,2010.0,236523,휘발유,자동,4,사륜구동,준중형,SUV,초록색,좋음,7800000
34322,chevrolet,silverado 1500,2003.0,643600,휘발유,자동,8,사륜구동,대형,트럭,초록색,나쁨,3600000
34323,ram,2500 slt,2005.0,273530,휘발유,자동,8,전륜구동,대형,트럭,은색,훌륭함,6000000
34324,lincoln,towncar,1996.0,124448,휘발유,자동,8,전륜구동,대형,세단,흰색,새거같음,5520000
34325,chevrolet,silverado lt 2500hd,2005.0,96540,경유,자동,8,사륜구동,대형,트럭,검은색,새거같음,30000000
34326,dodge,dart,2013.0,133547,휘발유,수동,4,후륜구동,중형,세단,은색,좋음,6600000
34327,gmc,yukon xl,2011.0,259049,휘발유,자동,8,사륜구동,대형,SUV,회색,좋음,15480000
34328,cadillac,ats,2016.0,66290,휘발유,자동,6,사륜구동,준중형,세단,검은색,새거같음,27000000
34329,jeep,cherokee latitude plus,2020.0,14802,휘발유,자동,4,사륜구동,중형,SUV,검은색,새거같음,29880000
34330,pontiac,grand am se,2004.0,274899,휘발유,자동,4,후륜구동,중형,세단,빨간색,좋음,1440000
34331,gmc,sierra,2005.0,353980,휘발유,자동,8,사륜구동,대형,픽업트럭,검은색,나쁨,3600000
34332,chevrolet,equinox,2011.0,160739,휘발유,자동,4,후륜구동,중형,SUV,갈색,훌륭함,8640000
34333,bmw,5 series 528i xdrive,2016.0,137141,휘발유,자동,4,사륜구동,중형,세단,검은색,훌륭함,26268000
34334,ford,focus se,2013.0,167336,휘발유,자동,4,후륜구동,중형,세단,회색,좋음,8394000
34335,ford,f550 super duty,2003.0,502466,경유,수동,8,전륜구동,대형,기타,빨간색,나쁨,14394000
34336,dodge,grand caravan,2018.0,73140,휘발유,자동,6,후륜구동,중형,미니밴,빨간색,훌륭함,38160000
34337,chrysler,300m,2004.0,236788,휘발유,자동,6,후륜구동,대형,세단,은색,좋음,3000000
34338,chevrolet,silverado,2006.0,207561,휘발유,자동,8,사륜구동,대형,픽업트럭,갈색,좋음,5820000
34339,ford,f-150,2015.0,217215,휘발유,자동,8,사륜구동,대형,트럭,흰색,훌륭함,24600000
34340,gmc,sierra 2500hd slt,2005.0,182299,경유,자동,8,사륜구동,대형,트럭,빨간색,훌륭함,17880000
34341,ram,1500,2012.0,254222,휘발유,자동,8,사륜구동,대형,픽업트럭,초록색,새거같음,20394000
34342,buick,lesabre,2002.0,173772,휘발유,자동,6,후륜구동,대형,세단,은색,좋음,4200000
34343,audi,rs7 4.0t quattro prestige,2014.0,107803,휘발유,자동,8,사륜구동,대형,세단,회색,훌륭함,54000000
34344,lincoln,navigator,2013.0,209170,휘발유,자동,8,사륜구동,대형,SUV,검은색,훌륭함,15000000
34345,dodge,journey sxt,2012.0,225260,휘발유,자동,4,후륜구동,중형,세단,회색,훌륭함,4680000
34346,buick,roadmaster,1995.0,260730,휘발유,자동,8,전륜구동,대형,기타,흰색,좋음,1440000
34347,ford,fusion sel,2009.0,209170,휘발유,자동,6,후륜구동,대형,세단,검은색,훌륭함,3240000
34348,gmc,acadia,2009.0,284793,휘발유,자동,6,후륜구동,대형,SUV,갈색,훌륭함,3000000
34349,ford,crown victoria police,2006.0,144810,휘발유,자동,8,전륜구동,대형,세단,흰색,훌륭함,6000000
34350,subaru,outback 3.6r limited,2010.0,310537,휘발유,자동,6,사륜구동,소형,SUV,검은색,훌륭함,7798800
34351,chevrolet,tahoe,2007.0,254222,휘발유,자동,8,사륜구동,대형,SUV,검은색,새거같음,13194000
34352,chrysler,200,2011.0,236344,휘발유,자동,4,후륜구동,중형,세단,흰색,훌륭함,5394000
34353,chevrolet,equinox,2011.0,165727,휘발유,자동,4,사륜구동,중형,SUV,흰색,훌륭함,8394000
34354,chevrolet,colorado,2006.0,194689,휘발유,자동,5,사륜구동,중형,픽업트럭,파란색,새거같음,11994000
34355,ford,explorer,1994.0,379724,휘발유,수동,6,사륜구동,대형,트럭,초록색,좋음,5400000
34356,chevrolet,silverado lt 4x4,2017.0,96959,휘발유,자동,6,사륜구동,대형,트럭,검은색,좋음,16794000
34357,ford,fiesta se,2013.0,202734,휘발유,자동,4,후륜구동,준중형,세단,은색,훌륭함,3000000
34358,dodge,challenger r/t,2015.0,139983,휘발유,수동,8,전륜구동,중형,쿠페,검은색,훌륭함,28800000
34359,chevrolet,malibu,2009.0,146419,휘발유,자동,6,후륜구동,대형,세단,흰색,훌륭함,7800000
34360,kia,forte,2017.0,55195,휘발유,자동,4,후륜구동,중형,세단,은색,훌륭함,14400000
34361,hyundai,accent,2017.0,98448,휘발유,자동,4,후륜구동,준중형,세단,흰색,훌륭함,10800000
34362,ford,f-150,2018.0,81552,휘발유,자동,6,사륜구동,중형,트럭,흰색,훌륭함,43200000
34363,ram,1500 laramie,2007.0,220593,휘발유,자동,8,사륜구동,대형,픽업트럭,회색,새거같음,13080000
